k	num	group	value
23	100M k-mers	unik.default	20.9
23	100M k-mers	unik.compact	17.5
23	100M k-mers	unik.sorted	12.6
23	100M k-mers	unik.default.C	33.3
23	100M k-mers	unik.sorted.C	12.7
25	100M k-mers	unik.compact.C	26.9
25	100M k-mers	gzip	13.8
25	100M k-mers	unik.default	17.4
25	100M k-mers	unik.compact	15.4
25	100M k-mers	unik.sorted	13.2
25	100M k-mers	unik.default.C	30.8
25	100M k-mers	unik.sorted.C	13.2
27	100M k-mers	unik.compact.C	25.0
27	100M k-mers	gzip	12.8
27	100M k-mers	unik.default	16.3
27	100M k-mers	unik.compact	14.4
27	100M k-mers	unik.sorted	14.1
27	100M k-mers	unik.default.C	28.6
27	100M k-mers	unik.sorted.C	14.2
29	100M k-mers	unik.compact.C	26.7
29	100M k-mers	gzip	12.0
29	100M k-mers	unik.default	13.4
29	100M k-mers	unik.compact	13.4
29	100M k-mers	unik.sorted	18.7
29	100M k-mers	unik.default.C	26.7
29	100M k-mers	unik.sorted.C	26.7
31	100M k-mers	unik.compact.C	25.0
31	100M k-mers	gzip	11.6
31	100M k-mers	unik.default	13.0
31	100M k-mers	unik.compact	13.0
31	100M k-mers	unik.sorted	19.1
31	100M k-mers	unik.default.C	25.0
31	100M k-mers	unik.sorted.C	25.0
